actor,name,release_name,score
"周星驰,莫文蔚,张柏芝",喜剧之王,1999-02-13(中国香港),9.2
"邱岳峰,毕克,富润生",大闹天宫,1965-12-31,9.0
"连姆·尼森,拉尔夫·费因斯,本·金斯利",辛德勒的名单,1993-12-15(美国),9.2
"朱莉·安德鲁斯,克里斯托弗·普卢默,埃琳诺·帕克",音乐之声,1965-03-02(美国),9.0
"张国荣,梁朝伟,张震",春光乍泄,1997-05-30(中国香港),9.2
"约翰尼·德普,薇诺娜·瑞德,黛安·韦斯特",剪刀手爱德华,1990-12-06(美国),8.8
"蒂姆·罗斯,普路特·泰勒·文斯,比尔·努恩",海上钢琴师,1998-10-28(意大利),9.2
"高山南,佐久间玲,户田惠子",魔女宅急便,1989-07-29(日本),8.8
"罗伯托·贝尼尼,尼可莱塔·布拉斯基,乔治·坎塔里尼",美丽人生,1997-12-20(意大利),9.3
"基努·里维斯,凯瑞-安·莫斯,劳伦斯·菲什伯恩",黑客帝国,2000-01-14,9.0
"弗朗索瓦·克鲁塞,奥玛·希,安娜·勒尼",触不可及,2011-11-02(法国),9.1
"孔刘,郑有美,金智英",熔炉,2011-09-22(韩国),8.8
"马里奥·毛瑞尔,平采娜·乐维瑟派布恩,阿查拉那·阿瑞亚卫考",初恋这件小事,2012-06-05,8.8
"周星驰,朱茵,莫文蔚",大话西游之大圣娶亲,2014-10-24,8.8
"张曼玉,梁家辉,甄子丹",新龙门客栈,2012-02-24,8.8
"黎明,张曼玉,曾志伟",甜蜜蜜,2015-02-13,9.2
"李来,薛耿求,严志媛",素媛,2013-10-02(韩国),9.1
"默罕默德·阿米尔·纳吉,Kamal Mirkarimi,Behzad Rafi",小鞋子,1999-01-22(美国),9.1
"内山昂辉,佐仓绫音,后藤弘树",萤火之森,2011-09-17(日本),9.0
"宋康昊,郭度沅,吴达洙",辩护人,2013-12-18(韩国),8.8
"三船敏郎,志村乔,千秋实",七武士,1954-04-26(日本),9.1
"吴念真,金燕玲,李凯莉",一一,2000-09-20(法国),8.9
